Time,Host_0,Host_1,Host_2,Host_3,Host_4,Host_5,Host_6,Host_7,Host_8,Host_9,Host_10,Host_11,Host_12,Host_13,Host_14,Host_15
4990,72.91666666666667,27.5,57.142857142857146,26.666666666666664,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000,72.91666666666667,27.5,57.142857142857146,26.666666666666664,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5010,72.91666666666667,27.5,57.142857142857146,26.666666666666664,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5020,72.91666666666667,27.5,57.142857142857146,26.666666666666664,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5030,72.91666666666667,27.5,57.142857142857146,26.666666666666664,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5040,72.91666666666667,27.5,57.142857142857146,26.666666666666664,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5050,72.91666666666667,27.5,57.142857142857146,26.666666666666664,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5060,72.91666666666667,27.5,57.142857142857146,26.666666666666664,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5070,72.91666666666667,27.5,57.142857142857146,26.666666666666664,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5080,72.91666666666667,27.5,57.142857142857146,26.666666666666664,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5090,72.91666666666667,27.5,57.142857142857146,26.666666666666664,81.81818181818181,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5100,72.91666666666667,27.5,57.142857142857146,26.666666666666664,81.81818181818181,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5110,72.91666666666667,27.5,57.142857142857146,26.666666666666664,81.81818181818181,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5120,72.91666666666667,27.5,57.142857142857146,26.666666666666664,81.81818181818181,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5130,72.91666666666667,27.5,57.142857142857146,26.666666666666664,81.81818181818181,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5140,72.91666666666667,27.5,57.142857142857146,26.666666666666664,81.81818181818181,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5150,72.91666666666667,27.5,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5160,72.91666666666667,27.5,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5170,72.91666666666667,27.5,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5180,72.91666666666667,27.5,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5190,72.91666666666667,20.0,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5200,72.91666666666667,20.0,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5210,72.91666666666667,20.0,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5220,72.91666666666667,20.0,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5230,72.91666666666667,20.0,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
