Time,Host_0,Host_1,Host_2,Host_3,Host_4,Host_5,Host_6,Host_7,Host_8,Host_9,Host_10,Host_11,Host_12,Host_13,Host_14,Host_15
6400,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,0.0,33.333333333333336
6410,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,0.0,33.333333333333336
6420,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,0.0,33.333333333333336
6430,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,0.0,33.333333333333336
6440,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,0.0,33.333333333333336
6450,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,0.0,33.333333333333336
6460,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,0.0,33.333333333333336
6470,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,0.0,33.333333333333336
6480,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,0.0,33.333333333333336
6490,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,0.0,33.333333333333336
6500,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,0.0,33.333333333333336
6510,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,0.0,33.333333333333336
6520,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,0.0,33.333333333333336
6530,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,0.0,33.333333333333336
6540,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,0.0,33.333333333333336
6550,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,33.33333333333333,0.0,0.0,0.0,33.333333333333336
6560,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,33.33333333333333,0.0,0.0,0.0,33.333333333333336
